report_date,segment,region,fact_progn,tranth_tst,dollar,dol_rab_ter,dol_sn_nal,rab_dney,atm,cards,compl
31.01.2013,S_1,RG_1,fact,16.93679432,30.03,0.919774,0.371816821,17,639,NULL,0.998736411
31.01.2013,S_1,RG_10,fact,8.372162485,30.03,0.949844881,0.497901261,17,183,NULL,0.998758954
31.01.2013,S_1,RG_11,fact,86.68202765,30.03,NULL,NULL,17,16.5,NULL,NULL
31.01.2013,S_1,RG_12,fact,8.700790535,30.03,0.899030234,0.50297035,17,436.5,NULL,0.998720859
31.01.2013,S_1,RG_13,fact,4.682459677,30.03,0.927184466,0.502216347,17,132,NULL,0.998741966
31.01.2013,S_1,RG_14,fact,10.84074898,30.03,0.919774,0.371816821,17,64.5,NULL,0.998736411
31.01.2013,S_1,RG_15,fact,6.680735604,30.03,0.962427746,0.4158136,17,63,NULL,0.998768387
31.01.2013,S_1,RG_16,fact,8.154579126,30.03,0.911408274,0.449686582,17,478.5,NULL,0.998730139
31.01.2013,S_1,RG_17,fact,7.097643215,30.03,0.904465593,0.550960292,17,333,NULL,0.998724934
31.01.2013,S_1,RG_18,fact,26.17931689,30.03,0.916666667,0.480481807,17,190.5,NULL,0.998734081
31.01.2013,S_1,RG_19,fact,7.775698261,30.03,0.941697417,0.465164769,17,1540.5,NULL,0.998752846
31.01.2013,S_1,RG_2,fact,11.14411176,30.03,0.924197921,0.440206523,17,943.4999999,NULL,0.998739727
31.01.2013,S_1,RG_20,fact,11.7118863,30.03,0.953003876,0.473269687,17,273,NULL,0.998761322
31.01.2013,S_1,RG_21,fact,6.827410188,30.03,0.905984581,0.473933057,17,2152.5,NULL,0.998726073
31.01.2013,S_1,RG_22,fact,9.774774775,30.03,0.95630531,0.453958155,17,79.49999999,NULL,0.998763797
31.01.2013,S_1,RG_23,fact,9.396499558,30.03,0.920638945,0.495198546,17,451.5,NULL,0.998737059
31.01.2013,S_1,RG_25,fact,10.49993166,30.03,0.886714727,0.522017624,17,345,NULL,0.998711627
31.01.2013,S_1,RG_26,fact,8.09028353,30.03,0.924758185,0.466009134,17,1054.5,NULL,0.998740147
31.01.2013,S_1,RG_27,fact,14.77517107,30.03,NULL,NULL,17,7.5,NULL,NULL
31.01.2013,S_1,RG_28,fact,8.537046371,30.03,0.955555556,0.454142735,17,69,NULL,0.998763235
31.01.2013,S_1,RG_29,fact,17.1132484,30.03,0.94683295,0.435954865,17,339,NULL,0.998756696
31.01.2013,S_1,RG_3,fact,13.18631161,30.03,0.803755869,0.393244916,17,288,NULL,0.998649434
31.01.2013,S_1,RG_30,fact,8.050170596,30.03,0.902601156,0.518887351,17,376.5,NULL,0.998723536
31.01.2013,S_1,RG_32,fact,6.625274927,30.03,0.923208191,0.523499724,17,132,NULL,0.998738985
31.01.2013,S_1,RG_33,fact,13.27388986,30.03,0.688862418,0.411060415,17,2188.5,NULL,0.998563301
31.01.2013,S_1,RG_34,fact,30.24721992,30.03,0.939952438,0.513482245,17,235.5,NULL,0.998751538
31.01.2013,S_1,RG_35,fact,6.537800473,30.03,0.926123721,0.193829975,17,853.4999999,NULL,0.998741171
31.01.2013,S_1,RG_36,fact,19.54940054,30.03,0.919774,0.371816821,17,4899,NULL,0.998736411
31.01.2013,S_1,RG_37,fact,23.60608445,30.03,0.94,0.469396664,17,91.49999999,NULL,0.998751574
31.01.2013,S_1,RG_38,fact,25.48285482,30.03,0.920297556,0.447632641,17,501,NULL,0.998736803
31.01.2013,S_1,RG_39,fact,9.880855087,30.03,0.951727329,0.452730276,17,1221,NULL,0.998760365
31.01.2013,S_1,RG_4,fact,8.976007768,30.03,0.92179427,0.481077028,17,450,NULL,0.998737925
31.01.2013,S_1,RG_40,fact,21.44340831,30.03,0.940441176,0.375410811,17,82.49999999,NULL,0.998751904
31.01.2013,S_1,RG_41,fact,14.27638846,30.03,0.921909933,0.487529554,17,568.5,NULL,0.998738012
31.01.2013,S_1,RG_42,fact,23.68616675,30.03,0.958653622,0.444993498,17,463.5,NULL,0.998765558
31.01.2013,S_1,RG_43,fact,14.47465093,30.03,0.942195347,0.457483758,17,1246.5,NULL,0.998753219
31.01.2013,S_1,RG_44,fact,10.44418134,30.03,0.923273657,0.480559331,17,288,NULL,0.998739034
31.01.2013,S_1,RG_45,fact,10.98731401,30.03,0.912227074,0.512483424,17,486,NULL,0.998730753
31.01.2013,S_1,RG_46,fact,10.57751388,30.03,0.895078606,0.496586193,17,409.5,NULL,0.998717897
31.01.2013,S_1,RG_47,fact,19.18442614,30.03,0.952380952,0.414103106,17,802.4999999,NULL,0.998760855
31.01.2013,S_1,RG_48,fact,18.89653472,30.03,0.919709855,0.450765813,17,196.5,NULL,0.998736363
31.01.2013,S_1,RG_49,fact,8.744698383,30.03,0.922006102,0.501773953,17,949.4999999,NULL,0.998738084
31.01.2013,S_1,RG_5,fact,6.915588478,30.03,0.933712121,0.499286363,17,886.4999999,NULL,0.99874686
31.01.2013,S_1,RG_50,fact,16.06283684,30.03,0.95530412,0.442399336,17,1690.5,NULL,0.998763047
31.01.2013,S_1,RG_51,fact,16.41168475,30.03,0.923771462,0.48326467,17,595.5,NULL,0.998739407
31.01.2013,S_1,RG_52,fact,12.04032258,30.03,0.840125392,0.414879953,17,564,NULL,0.9986767
31.01.2013,S_1,RG_53,fact,5.908444023,30.03,0.890862944,0.512840086,17,163.5,NULL,0.998714737
31.01.2013,S_1,RG_54,fact,21.69124124,30.03,0.92259887,0.420882525,17,205.5,NULL,0.998738528
31.01.2013,S_1,RG_55,fact,12.79001496,30.03,0.930841968,0.464746952,17,1504.5,NULL,0.998744708
31.01.2013,S_1,RG_56,fact,17.46799324,30.03,0.93831134,0.419076075,17,877.4999999,NULL,0.998750308
31.01.2013,S_1,RG_57,fact,18.31360242,30.03,0.957430919,0.47083539,17,610.5,NULL,0.998764641
31.01.2013,S_1,RG_58,fact,7.618822137,30.03,0.908907901,0.500278781,17,487.5,NULL,0.998728265
31.01.2013,S_1,RG_59,fact,7.334374922,30.03,0.92560471,0.41703917,17,1098,NULL,0.998740782
31.01.2013,S_1,RG_6,fact,19.53624841,30.03,0.92005814,0.458863142,17,115.5,NULL,0.998736624
31.01.2013,S_1,RG_60,fact,6.595859661,30.03,0.926559356,0.559146872,17,282,NULL,0.998741497
31.01.2013,S_1,RG_61,fact,6.231389578,30.03,0.780503979,0.459745721,17,318,NULL,0.998632003
31.01.2013,S_1,RG_62,fact,16.02065088,30.03,0.92844891,0.449019623,17,726,NULL,0.998742914
31.01.2013,S_1,RG_63,fact,16.28465686,30.03,0.947424323,0.410379676,17,535.5,NULL,0.998757139
31.01.2013,S_1,RG_64,fact,11.37764896,30.03,0.946836789,0.460072976,17,402,NULL,0.998756699
31.01.2013,S_1,RG_65,fact,23.48203858,30.03,0.932846277,0.474711043,17,1251,NULL,0.998746211
31.01.2013,S_1,RG_66,fact,4.092741935,30.03,0.736319742,0.475851872,17,337.5,NULL,0.998598879
31.01.2013,S_1,RG_67,fact,7.741845679,30.03,0.919774,0.371816821,17,675,NULL,0.998736411
31.01.2013,S_1,RG_68,fact,6.31797235,30.03,0.881578947,0.495488652,17,89.99999999,NULL,0.998707777
31.01.2013,S_1,RG_69,fact,21.68308258,30.03,0.9542438,0.440636127,17,388.5,NULL,0.998762252
31.01.2013,S_1,RG_7,fact,20.94109361,30.03,0.927773731,0.418785304,17,396,NULL,0.998742408
31.01.2013,S_1,RG_70,fact,9.104524508,30.03,0.753623188,0.454946721,17,261,NULL,0.998611851
31.01.2013,S_1,RG_71,fact,11.06679014,30.03,0.901340996,0.504831914,17,600,NULL,0.998722592
31.01.2013,S_1,RG_72,fact,10.45635845,30.03,0.915231788,0.498002996,17,806.9999999,NULL,0.998733005
31.01.2013,S_1,RG_73,fact,16.94841944,30.03,0.944370271,0.41522133,17,154.5,NULL,0.99875485
31.01.2013,S_1,RG_74,fact,1.727150538,30.03,0.84,0.528329162,17,48,NULL,0.998676606
31.01.2013,S_1,RG_75,fact,10.54088595,30.03,0.93852459,0.500209939,17,931.4999999,NULL,0.998750468
31.01.2013,S_1,RG_76,fact,10.11930638,30.03,0.885402139,0.477029888,17,1477.5,NULL,0.998710643
31.01.2013,S_1,RG_77,fact,24.93764143,30.03,0.77016129,0.365756593,17,387,NULL,0.998624249
31.01.2013,S_1,RG_78,fact,6.289735537,30.03,0.907340946,0.47348463,17,1008,NULL,0.99872709
31.01.2013,S_1,RG_79,fact,7.345040995,30.03,0.922257301,0.4637161,17,433.5,NULL,0.998738272
31.01.2013,S_1,RG_8,fact,8.353124026,30.03,0.930213004,0.487582779,17,339,NULL,0.998744237
31.01.2013,S_1,RG_80,fact,21.68488423,30.03,0.963409563,0.435443906,17,1510.5,NULL,0.998769123
31.01.2013,S_1,RG_81,fact,17.89077293,30.03,0.929484219,0.496463464,17,1453.5,NULL,0.99874369
31.01.2013,S_1,RG_82,fact,20.02963071,30.03,0.958808619,0.414395457,17,241.5,NULL,0.998765674
31.01.2013,S_1,RG_83,fact,8.678058347,30.03,0.931472081,0.51846146,17,441,NULL,0.99874518
31.01.2013,S_1,RG_84,fact,18.1634479,30.03,0.948655713,0.440134969,17,1444.5,NULL,0.998758063
31.01.2013,S_1,RG_85,fact,10.66751001,30.03,0.895850796,0.481974188,17,579,NULL,0.998718476
31.01.2013,S_1,RG_9,fact,20.78509071,30.03,0.956296722,0.375737542,17,375,NULL,0.998763791
31.01.2013,S_2,RG_1,fact,71.94072353,30.03,0.919774,0.371816821,17,639,NULL,0.999368205
31.01.2013,S_2,RG_10,fact,63.44208211,30.03,0.949844881,0.497901261,17,183,NULL,0.999379477
31.01.2013,S_2,RG_12,fact,39.11041418,30.03,0.899030234,0.50297035,17,436.5,NULL,0.99936043
31.01.2013,S_2,RG_13,fact,17.14516129,30.03,0.927184466,0.502216347,17,132,NULL,0.999370983
31.01.2013,S_2,RG_14,fact,50.57510935,30.03,0.919774,0.371816821,17,64.5,NULL,0.999368205
31.01.2013,S_2,RG_15,fact,1.317204301,30.03,0.962427746,0.4158136,17,63,NULL,0.999384194
31.01.2013,S_2,RG_16,fact,33.32277556,30.03,0.911408274,0.449686582,17,478.5,NULL,0.999365069
31.01.2013,S_2,RG_17,fact,38.53766549,30.03,0.904465593,0.550960292,17,333,NULL,0.999362467
31.01.2013,S_2,RG_18,fact,35.98973607,30.03,0.916666667,0.480481807,17,190.5,NULL,0.999367041
31.01.2013,S_2,RG_19,fact,29.90450589,30.03,0.941697417,0.465164769,17,1540.5,NULL,0.999376423
31.01.2013,S_2,RG_2,fact,100.4258896,30.03,0.924197921,0.440206523,17,943.4999999,NULL,0.999369864
31.01.2013,S_2,RG_20,fact,67.96203691,30.03,0.953003876,0.473269687,17,273,NULL,0.999380661
31.01.2013,S_2,RG_21,fact,19.132134,30.03,0.905984581,0.473933057,17,2152.5,NULL,0.999363036
31.01.2013,S_2,RG_22,fact,94.15085389,30.03,0.95630531,0.453958155,17,79.49999999,NULL,0.999381899
31.01.2013,S_2,RG_23,fact,57.78322802,30.03,0.920638945,0.495198546,17,451.5,NULL,0.99936853
31.01.2013,S_2,RG_25,fact,28.10823033,30.03,0.886714727,0.522017624,17,345,NULL,0.999355813
31.01.2013,S_2,RG_26,fact,74.50918049,30.03,0.924758185,0.466009134,17,1054.5,NULL,0.999370074
31.01.2013,S_2,RG_27,fact,4.495967742,30.03,NULL,NULL,17,7.5,NULL,NULL
31.01.2013,S_2,RG_28,fact,52.55184332,30.03,0.955555556,0.454142735,17,69,NULL,0.999381618
31.01.2013,S_2,RG_29,fact,80.15828957,30.03,0.94683295,0.435954865,17,339,NULL,0.999378348
31.01.2013,S_2,RG_3,fact,21.81372549,30.03,0.803755869,0.393244916,17,288,NULL,0.999324717
31.01.2013,S_2,RG_30,fact,74.8519302,30.03,0.902601156,0.518887351,17,376.5,NULL,0.999361768
31.01.2013,S_2,RG_32,fact,12.33486943,30.03,0.923208191,0.523499724,17,132,NULL,0.999369493
31.01.2013,S_2,RG_33,fact,44.35991751,30.03,0.688862418,0.411060415,17,2188.5,NULL,0.99928165
31.01.2013,S_2,RG_34,fact,17.67950052,30.03,0.939952438,0.513482245,17,235.5,NULL,0.999375769
31.01.2013,S_2,RG_35,fact,22.00523937,30.03,0.926123721,0.193829975,17,853.4999999,NULL,0.999370585
31.01.2013,S_2,RG_36,fact,75.67807587,30.03,0.919774,0.371816821,17,4899,NULL,0.999368205
31.01.2013,S_2,RG_37,fact,59.5483871,30.03,0.94,0.469396664,17,91.49999999,NULL,0.999375787
31.01.2013,S_2,RG_38,fact,133.247065,30.03,0.920297556,0.447632641,17,501,NULL,0.999368402
31.01.2013,S_2,RG_39,fact,52.76885436,30.03,0.951727329,0.452730276,17,1221,NULL,0.999380183
31.01.2013,S_2,RG_4,fact,88.11926853,30.03,0.92179427,0.481077028,17,450,NULL,0.999368963
31.01.2013,S_2,RG_40,fact,201.2066906,30.03,0.940441176,0.375410811,17,82.49999999,NULL,0.999375952
31.01.2013,S_2,RG_41,fact,35.11984767,30.03,0.921909933,0.487529554,17,568.5,NULL,0.999369006
31.01.2013,S_2,RG_42,fact,100.91485,30.03,0.958653622,0.444993498,17,463.5,NULL,0.999382779
31.01.2013,S_2,RG_43,fact,91.80454921,30.03,0.942195347,0.457483758,17,1246.5,NULL,0.99937661
31.01.2013,S_2,RG_44,fact,17.63334398,30.03,0.923273657,0.480559331,17,288,NULL,0.999369517
31.01.2013,S_2,RG_45,fact,50.54981911,30.03,0.912227074,0.512483424,17,486,NULL,0.999365376
31.01.2013,S_2,RG_46,fact,30.34666219,30.03,0.895078606,0.496586193,17,409.5,NULL,0.999358948
31.01.2013,S_2,RG_47,fact,96.41497428,30.03,0.952380952,0.414103106,17,802.4999999,NULL,0.999380428
31.01.2013,S_2,RG_48,fact,81.37874077,30.03,0.919709855,0.450765813,17,196.5,NULL,0.999368181
31.01.2013,S_2,RG_49,fact,53.26420891,30.03,0.922006102,0.501773953,17,949.4999999,NULL,0.999369042
31.01.2013,S_2,RG_5,fact,20.02610575,30.03,0.933712121,0.499286363,17,886.4999999,NULL,0.99937343
31.01.2013,S_2,RG_50,fact,63.63522145,30.03,0.95530412,0.442399336,17,1690.5,NULL,0.999381523
31.01.2013,S_2,RG_51,fact,47.32140525,30.03,0.923771462,0.48326467,17,595.5,NULL,0.999369704
31.01.2013,S_2,RG_52,fact,136.0367384,30.03,0.840125392,0.414879953,17,564,NULL,0.99933835
31.01.2013,S_2,RG_53,fact,26.08870968,30.03,0.890862944,0.512840086,17,163.5,NULL,0.999357368
31.01.2013,S_2,RG_54,fact,78.81389578,30.03,0.92259887,0.420882525,17,205.5,NULL,0.999369264
31.01.2013,S_2,RG_55,fact,75.16486644,30.03,0.930841968,0.464746952,17,1504.5,NULL,0.999372354
31.01.2013,S_2,RG_56,fact,107.9021448,30.03,0.93831134,0.419076075,17,877.4999999,NULL,0.999375154
31.01.2013,S_2,RG_57,fact,65.69491181,30.03,0.957430919,0.47083539,17,610.5,NULL,0.999382321
31.01.2013,S_2,RG_58,fact,35.53315412,30.03,0.908907901,0.500278781,17,487.5,NULL,0.999364132
31.01.2013,S_2,RG_59,fact,49.03926146,30.03,0.92560471,0.41703917,17,1098,NULL,0.999370391
31.01.2013,S_2,RG_6,fact,47.86554115,30.03,0.92005814,0.458863142,17,115.5,NULL,0.999368312
31.01.2013,S_2,RG_60,fact,20.42002688,30.03,0.926559356,0.559146872,17,282,NULL,0.999370749
31.01.2013,S_2,RG_61,fact,55.09716284,30.03,0.780503979,0.459745721,17,318,NULL,0.999316001
31.01.2013,S_2,RG_62,fact,33.48208747,30.03,0.92844891,0.449019623,17,726,NULL,0.999371457
31.01.2013,S_2,RG_63,fact,52.58764257,30.03,0.947424323,0.410379676,17,535.5,NULL,0.99937857
31.01.2013,S_2,RG_64,fact,113.7316716,30.03,0.946836789,0.460072976,17,402,NULL,0.99937835
31.01.2013,S_2,RG_65,fact,80.27392914,30.03,0.932846277,0.474711043,17,1251,NULL,0.999373105
31.01.2013,S_2,RG_66,fact,32.61030775,30.03,0.736319742,0.475851872,17,337.5,NULL,0.999299439
31.01.2013,S_2,RG_67,fact,69.64751344,30.03,0.919774,0.371816821,17,675,NULL,0.999368205
31.01.2013,S_2,RG_68,fact,1.451612903,30.03,0.881578947,0.495488652,17,89.99999999,NULL,0.999353888
31.01.2013,S_2,RG_69,fact,50.44152694,30.03,0.9542438,0.440636127,17,388.5,NULL,0.999381126
31.01.2013,S_2,RG_7,fact,69.20135276,30.03,0.927773731,0.418785304,17,396,NULL,0.999371204
31.01.2013,S_2,RG_70,fact,29.09354839,30.03,0.753623188,0.454946721,17,261,NULL,0.999305925
31.01.2013,S_2,RG_71,fact,23.48164627,30.03,0.901340996,0.504831914,17,600,NULL,0.999361296
31.01.2013,S_2,RG_72,fact,142.1913082,30.03,0.915231788,0.498002996,17,806.9999999,NULL,0.999366503
31.01.2013,S_2,RG_73,fact,65.4280397,30.03,0.944370271,0.41522133,17,154.5,NULL,0.999377425
31.01.2013,S_2,RG_74,fact,1.129032258,30.03,0.920914875,0.371673865,17,48,NULL,0.999368633
31.01.2013,S_2,RG_75,fact,101.4150136,30.03,0.93852459,0.500209939,17,931.4999999,NULL,0.999375234
31.01.2013,S_2,RG_76,fact,30.54624389,30.03,0.885402139,0.477029888,17,1477.5,NULL,0.999355321
31.01.2013,S_2,RG_77,fact,647.2479839,30.03,0.77016129,0.365756593,17,387,NULL,0.999312125
31.01.2013,S_2,RG_78,fact,33.90096774,30.03,0.907340946,0.47348463,17,1008,NULL,0.999363545
31.01.2013,S_2,RG_79,fact,36.23857168,30.03,0.922257301,0.4637161,17,433.5,NULL,0.999369136
31.01.2013,S_2,RG_8,fact,123.6436026,30.03,0.930213004,0.487582779,17,339,NULL,0.999372118
31.01.2013,S_2,RG_80,fact,100.2338103,30.03,0.963409563,0.435443906,17,1510.5,NULL,0.999384562
31.01.2013,S_2,RG_81,fact,39.92384953,30.03,0.929484219,0.496463464,17,1453.5,NULL,0.999371845
31.01.2013,S_2,RG_82,fact,112.6046711,30.03,0.958808619,0.414395457,17,241.5,NULL,0.999382837
31.01.2013,S_2,RG_83,fact,52.96523297,30.03,0.931472081,0.51846146,17,441,NULL,0.99937259
31.01.2013,S_2,RG_84,fact,119.3083829,30.03,0.948655713,0.440134969,17,1444.5,NULL,0.999379031
31.01.2013,S_2,RG_85,fact,57.20832352,30.03,0.895850796,0.481974188,17,579,NULL,0.999359238
31.01.2013,S_2,RG_9,fact,149.0039662,30.03,0.956296722,0.375737542,17,375,NULL,0.999381895
31.01.2013,S_3,RG_1,fact,111.7101518,30.03,0.919774,0.371816821,17,639,NULL,0.999684103
31.01.2013,S_3,RG_10,fact,13.63844086,30.03,0.949844881,0.497901261,17,183,NULL,0.999689739
31.01.2013,S_3,RG_11,fact,6.002304147,30.03,NULL,NULL,17,16.5,NULL,NULL
31.01.2013,S_3,RG_12,fact,49.5608345,30.03,0.899030234,0.50297035,17,436.5,NULL,0.999680215
31.01.2013,S_3,RG_13,fact,4.512463343,30.03,0.927184466,0.502216347,17,132,NULL,0.999685492
31.01.2013,S_3,RG_14,fact,75.1495333,30.03,0.919774,0.371816821,17,64.5,NULL,0.999684103
